All New Jersey ZIP Codes,,,,
Rank,ZIP Code,County,State,Overall Score
1,07650,Bergen,New Jersey,72.6
2,07960,Morris,New Jersey,70.8
3,07020,Bergen,New Jersey,70.6
4,07657,Bergen,New Jersey,69.4
5,07446,Bergen,New Jersey,68.6
6,07022,Bergen,New Jersey,68.4
7,07073,Bergen,New Jersey,68.3
8,07310,Hudson,New Jersey,68.1
9,07070,Bergen,New Jersey,67.5
10,08540,Middlesex,New Jersey,67.1
11,07481,Bergen,New Jersey,66.7
12,08812,Middlesex,New Jersey,66.5
13,07643,Bergen,New Jersey,66.1
14,07436,Bergen,New Jersey,66
15,07054,Morris,New Jersey,66
16,07731,Monmouth,New Jersey,65.9
17,07661,Bergen,New Jersey,65.7
18,07075,Bergen,New Jersey,65.6
19,07726,Middlesex,New Jersey,65.4
20,08736,Monmouth,New Jersey,65.1
21,07079,Essex,New Jersey,65.1
22,07463,Bergen,New Jersey,65
23,08002,Camden,New Jersey,64.6
24,07057,Bergen,New Jersey,64.6
25,08902,Middlesex,New Jersey,64.5
26,08824,Middlesex,New Jersey,64.5
27,08753,Ocean,New Jersey,64.4
28,07405,Morris,New Jersey,64.2
29,07801,Morris,New Jersey,64
30,08840,Middlesex,New Jersey,64
31,08805,Middlesex,New Jersey,63.9
32,08817,Middlesex,New Jersey,63.9
33,07670,Bergen,New Jersey,63.7
34,07043,Essex,New Jersey,63.1
35,07866,Morris,New Jersey,63.1
36,08004,Camden,New Jersey,63.1
37,08857,Middlesex,New Jersey,62.9
38,07642,Bergen,New Jersey,62.7
39,07719,Monmouth,New Jersey,62.7
40,07090,Union,New Jersey,62.6
41,07751,Middlesex,New Jersey,62.6
42,08816,Middlesex,New Jersey,62.5
43,07442,Passaic,New Jersey,62.5
44,07621,Bergen,New Jersey,62.4
45,07506,Bergen,New Jersey,62.4
46,07458,Bergen,New Jersey,62.3
47,07444,Morris,New Jersey,62.3
48,07067,Middlesex,New Jersey,62.2
49,08822,Somerset,New Jersey,62.1
50,07728,Monmouth,New Jersey,62.1
51,07869,Morris,New Jersey,62.1
52,08820,Middlesex,New Jersey,62.1
53,07834,Morris,New Jersey,62.1
54,07042,Essex,New Jersey,62.1
55,07604,Bergen,New Jersey,62
56,08619,Mercer,New Jersey,62
57,08691,Monmouth,New Jersey,62
58,07095,Middlesex,New Jersey,61.8
59,07012,Passaic,New Jersey,61.8
60,08536,Middlesex,New Jersey,61.7
61,07036,Union,New Jersey,61.7
62,07302,Hudson,New Jersey,61.7
63,07045,Morris,New Jersey,61.6
64,07631,Bergen,New Jersey,61.5
65,07010,Bergen,New Jersey,61.4
66,07701,Monmouth,New Jersey,61.2
67,08620,Monmouth,New Jersey,61.1
68,07450,Bergen,New Jersey,61.1
69,08053,Camden,New Jersey,61
70,07675,Bergen,New Jersey,61
71,07512,Passaic,New Jersey,61
72,07480,Passaic,New Jersey,60.9
73,07080,Middlesex,New Jersey,60.8
74,07663,Bergen,New Jersey,60.8
75,07734,Monmouth,New Jersey,60.8
76,07026,Bergen,New Jersey,60.7
77,07885,Morris,New Jersey,60.7
78,07724,Monmouth,New Jersey,60.7
79,08009,Camden,New Jersey,60.7
80,07470,Passaic,New Jersey,60.6
81,07733,Monmouth,New Jersey,60.6
82,07071,Bergen,New Jersey,60.6
83,08731,Ocean,New Jersey,60.5
84,07735,Middlesex,New Jersey,60.4
85,08723,Ocean,New Jersey,60.3
86,08096,Gloucester,New Jersey,60.3
87,08830,Middlesex,New Jersey,60.1
88,08846,Middlesex,New Jersey,60.1
89,08742,Ocean,New Jersey,60
90,08882,Middlesex,New Jersey,60
91,07601,Bergen,New Jersey,60
92,08043,Camden,New Jersey,60
93,07032,Bergen,New Jersey,59.9
